1,西瓜; 土豆; 西红柿
2,梨; 土豆; 冰激凌; 西瓜; 西红柿
3,土豆
4,西瓜
5,苹果; 土豆; 牛奶
6,苹果; 梨; 土豆; 牛奶; 香蕉
7,苹果; 土豆; 冰激凌; 香蕉; 西红柿
8,苹果; 土豆; 香蕉
9,西瓜; 牛奶; 冰激凌; 西红柿
10,苹果; 梨; 牛奶; 冰激凌; 西瓜; 西红柿
11,牛奶; 冰激凌; 香蕉
12,苹果; 梨; 土豆; 冰激凌; 香蕉
13,西瓜; 梨
14,苹果; 梨; 牛奶; 香蕉; 西红柿
15,苹果; 牛奶; 冰激凌; 西瓜; 香蕉; 西红柿
16,苹果; 梨; 牛奶; 西瓜; 香蕉; 西红柿
17,西瓜; 冰激凌; 梨; 牛奶
18,苹果; 土豆; 西瓜; 香蕉; 西红柿
19,西瓜; 苹果; 土豆; 西红柿
20,牛奶; 土豆; 香蕉; 苹果
21,西红柿
22,西瓜; 土豆; 牛奶; 西红柿
23,苹果; 梨; 土豆; 西瓜; 西红柿
24,苹果; 土豆; 牛奶; 西瓜; 香蕉; 西红柿
25,牛奶; 冰激凌; 土豆; 西红柿
26,西瓜; 苹果; 土豆; 香蕉
27,苹果; 土豆; 冰激凌; 西瓜; 香蕉
28,苹果; 牛奶; 冰激凌; 西瓜; 西红柿
29,苹果; 牛奶; 冰激凌; 西瓜; 香蕉
30,冰激凌; 香蕉
31,西瓜; 梨; 香蕉; 牛奶
32,苹果; 梨; 香蕉; 牛奶
33,西瓜; 梨; 香蕉; 西红柿
34,苹果; 梨
35,苹果; 香蕉
36,苹果; 土豆
37,梨; 西红柿
38,牛奶; 香蕉
39,梨
40,苹果; 牛奶; 西瓜; 香蕉; 西红柿
41,西瓜; 牛奶; 土豆; 香蕉
42,苹果; 梨; 土豆; 冰激凌; 牛奶
43,苹果; 土豆; 牛奶
44,苹果; 土豆; 香蕉; 西红柿
45,冰激凌; 土豆
46,西瓜; 苹果; 梨; 牛奶
47,土豆; 冰激凌; 牛奶; 香蕉; 西红柿
48,苹果; 梨; 土豆; 牛奶; 西瓜
49,苹果; 冰激凌; 土豆; 香蕉
50,牛奶; 梨; 土豆; 香蕉
51,苹果; 梨; 土豆; 冰激凌; 西红柿
52,苹果; 冰激凌; 土豆
53,苹果; 冰激凌; 西红柿
54,苹果; 土豆; 香蕉; 西红柿
55,西瓜; 苹果; 梨; 香蕉
56,苹果; 梨; 土豆; 牛奶
57,西瓜; 苹果; 冰激凌
58,牛奶; 梨
59,苹果; 梨; 冰激凌; 牛奶; 西红柿
60,西瓜; 土豆; 香蕉; 西红柿
61,西瓜; 香蕉
62,冰激凌; 梨; 土豆; 西红柿
63,西瓜; 土豆; 香蕉; 牛奶
64,苹果; 冰激凌; 土豆; 香蕉
65,西瓜; 苹果; 牛奶; 西红柿
66,苹果; 冰激凌; 土豆
67,梨; 土豆; 牛奶; 西瓜; 西红柿
68,西瓜; 土豆; 香蕉
69,牛奶; 冰激凌; 土豆
70,苹果; 土豆; 牛奶; 西瓜; 西红柿
71,牛奶; 梨
72,牛奶; 苹果
73,西瓜; 冰激凌; 香蕉; 西红柿
74,西瓜; 苹果
75,冰激凌; 香蕉
76,苹果; 西红柿
77,牛奶; 土豆; 香蕉; 西红柿
78,牛奶; 冰激凌; 香蕉
79,西瓜; 冰激凌; 土豆; 西红柿
80,西瓜; 香蕉
81,梨; 土豆; 冰激凌; 西瓜; 香蕉
82,苹果
83,梨; 土豆; 冰激凌; 西瓜; 香蕉
84,冰激凌
85,牛奶; 梨; 土豆; 西红柿
86,牛奶; 冰激凌; 梨; 土豆
87,西瓜; 冰激凌; 梨; 土豆
88,苹果; 土豆; 牛奶; 冰激凌; 西瓜; 西红柿
89,西瓜; 冰激凌; 苹果; 西红柿
90,苹果; 梨; 牛奶; 西瓜; 香蕉
91,土豆
92,苹果; 梨; 土豆; 冰激凌; 西红柿
93,苹果; 土豆; 西瓜; 香蕉; 西红柿
94,牛奶
95,牛奶; 冰激凌
96,西瓜; 牛奶; 梨; 香蕉
97,梨; 土豆; 香蕉
98,牛奶; 冰激凌; 梨; 土豆
99,西瓜; 苹果; 梨; 牛奶
100,苹果; 冰激凌
101,冰激凌; 西红柿
102,西瓜; 牛奶; 土豆; 香蕉
103,土豆
104,西瓜; 梨; 香蕉; 西红柿
105,西瓜; 牛奶; 香蕉; 苹果
106,苹果; 冰激凌; 梨; 西红柿
107,西红柿
108,苹果; 梨
109,苹果; 梨; 土豆; 冰激凌; 西红柿
110,苹果; 土豆; 牛奶; 西瓜; 香蕉
111,苹果; 梨; 冰激凌; 牛奶; 香蕉
112,牛奶; 西红柿
113,苹果; 冰激凌; 土豆
114,牛奶; 冰激凌; 苹果
115,牛奶; 苹果
116,苹果; 梨; 牛奶; 香蕉; 西红柿
117,冰激凌; 土豆; 西红柿
118,冰激凌; 梨
119,苹果; 梨; 西红柿
120,梨; 香蕉
121,西瓜; 冰激凌; 西红柿; 苹果
122,苹果; 梨; 西红柿; 牛奶
123,西瓜; 牛奶; 香蕉; 苹果
124,梨; 土豆; 冰激凌; 西瓜; 西红柿
125,苹果; 梨; 冰激凌; 牛奶; 西红柿
126,苹果; 土豆; 冰激凌; 牛奶; 香蕉; 西红柿
127,西瓜; 土豆
128,冰激凌; 西红柿
129,苹果; 香蕉
130,西瓜; 梨; 牛奶
131,梨; 土豆; 牛奶; 西瓜; 西红柿
132,苹果
133,西瓜; 土豆; 苹果
134,苹果; 梨; 土豆
135,苹果; 冰激凌; 西红柿
136,苹果; 香蕉
137,苹果; 土豆; 牛奶; 西瓜; 西红柿
138,土豆; 牛奶; 冰激凌; 西瓜; 西红柿
139,西瓜; 牛奶
140,苹果; 梨; 冰激凌; 牛奶; 西红柿
141,冰激凌; 梨; 土豆
142,苹果; 梨
143,苹果; 冰激凌; 香蕉; 西红柿
144,西瓜; 牛奶; 土豆; 苹果
145,土豆; 西红柿
146,冰激凌
147,西瓜; 冰激凌; 土豆; 西红柿
148,苹果; 土豆; 冰激凌; 牛奶; 香蕉; 西红柿
149,苹果; 梨; 冰激凌; 牛奶; 西红柿
150,冰激凌; 土豆; 香蕉
151,西瓜; 牛奶; 冰激凌; 香蕉
152,西瓜; 土豆; 香蕉
153,梨; 土豆; 冰激凌; 牛奶; 香蕉
154,苹果; 土豆; 牛奶; 冰激凌; 西瓜
155,冰激凌; 土豆
156,西瓜; 苹果
157,苹果; 土豆; 牛奶; 冰激凌; 西瓜
158,苹果; 冰激凌; 土豆; 西红柿
159,西瓜; 西红柿
160,土豆; 牛奶; 冰激凌; 西瓜; 香蕉
161,苹果; 梨; 牛奶; 西瓜; 香蕉; 西红柿
162,西瓜; 苹果; 西红柿
163,苹果; 梨; 土豆; 冰激凌; 西瓜; 西红柿
164,牛奶; 冰激凌; 土豆
165,冰激凌; 土豆; 香蕉; 西红柿
166,苹果; 冰激凌; 西红柿
167,苹果; 梨; 土豆; 牛奶; 冰激凌; 西瓜; 西红柿
168,冰激凌; 梨
169,苹果; 土豆; 西瓜; 香蕉; 西红柿
170,西瓜; 梨
171,西瓜; 梨; 苹果
172,西瓜; 香蕉; 牛奶
173,苹果; 西红柿
174,苹果; 梨; 牛奶; 西瓜; 西红柿
175,苹果; 梨; 土豆; 牛奶; 西瓜
176,苹果; 土豆; 牛奶; 西瓜; 香蕉; 西红柿
177,梨; 土豆; 牛奶; 冰激凌; 西瓜; 香蕉
178,牛奶; 土豆
179,西瓜; 土豆; 牛奶
180,梨; 土豆; 牛奶; 西瓜; 西红柿
181,苹果; 梨; 牛奶; 冰激凌; 西瓜
182,西瓜; 西红柿
183,苹果; 梨; 冰激凌; 香蕉; 西红柿
184,苹果
185,牛奶; 冰激凌; 香蕉
186,香蕉; 西红柿
187,西瓜; 苹果; 香蕉; 西红柿
188,西瓜; 牛奶; 西红柿
189,西瓜; 冰激凌; 香蕉; 牛奶
190,苹果
191,梨; 冰激凌; 牛奶; 香蕉; 西红柿
192,苹果; 冰激凌; 土豆; 西红柿
193,苹果; 牛奶
194,苹果
195,苹果; 西红柿
196,苹果; 梨; 牛奶; 冰激凌; 西瓜
197,苹果; 西红柿
198,土豆; 牛奶; 冰激凌; 西瓜; 香蕉; 西红柿
199,牛奶; 苹果; 西红柿
200,苹果
201,梨; 西红柿
202,牛奶; 冰激凌
203,苹果; 土豆; 香蕉; 西红柿
204,梨; 牛奶; 冰激凌; 西瓜; 西红柿
205,冰激凌
