1	土豆,苹果,梨,牛奶,西红柿
2	土豆,苹果,西瓜,牛奶,西红柿
3	土豆,苹果,香蕉,西瓜,西红柿
4	土豆,苹果,冰激凌,西瓜,西红柿
5	土豆,苹果,梨,牛奶,西红柿
6	牛奶
7	西瓜,苹果,西红柿
8	西瓜,香蕉,土豆,西红柿
9	西红柿
10	西红柿
11	土豆,苹果,梨,牛奶,西红柿
12	西瓜,梨,香蕉,西红柿
13	土豆,苹果,香蕉,冰激凌,牛奶
14	西瓜,苹果,梨
15	梨,西红柿,香蕉,冰激凌
16	苹果,香蕉,牛奶,西红柿
17	香蕉,冰激凌
18	西瓜,牛奶,西红柿
19	土豆
20	冰激凌,牛奶,西红柿
21	牛奶
22	西瓜,香蕉,土豆
23	西瓜,西红柿
24	牛奶,香蕉,土豆,冰激凌
25	土豆,香蕉,梨,牛奶,西红柿
26	西瓜,土豆,冰激凌
27	冰激凌
28	苹果,香蕉,冰激凌,梨,西瓜,牛奶,西红柿
29	苹果,冰激凌,西瓜,牛奶,西红柿
30	苹果
31	牛奶,西红柿
32	香蕉,土豆,冰激凌
33	香蕉
34	苹果,冰激凌,梨,西瓜,牛奶
35	梨,土豆,冰激凌
36	苹果,牛奶,西红柿
37	苹果,香蕉,梨,西瓜,牛奶,西红柿
38	牛奶,西瓜,土豆,西红柿
39	苹果,香蕉,梨,西瓜,西红柿
40	西瓜,冰激凌
41	苹果,土豆,牛奶,冰激凌
42	梨
43	香蕉,梨,西瓜,牛奶,西红柿
44	苹果,冰激凌
45	西瓜,冰激凌
46	土豆,苹果,冰激凌,梨,西瓜
47	苹果,冰激凌,梨,西瓜,牛奶
48	土豆,香蕉,冰激凌,梨,西瓜
49	香蕉,冰激凌,梨
50	苹果,香蕉,冰激凌,梨,牛奶,西红柿
51	梨,苹果,冰激凌
52	土豆,西红柿
53	牛奶,冰激凌
54	土豆,苹果,冰激凌,梨,西红柿
55	西瓜,苹果,香蕉,土豆
56	土豆,香蕉,冰激凌,梨,西瓜,牛奶,西红柿
57	土豆,苹果,香蕉,梨,西瓜,牛奶
58	冰激凌,梨
59	西瓜,西红柿,梨
60	苹果,冰激凌,梨,西瓜,牛奶
61	梨,牛奶,冰激凌
62	西瓜,苹果,香蕉,土豆
63	土豆,苹果,香蕉,冰激凌,西瓜,牛奶
64	苹果,土豆,梨
65	苹果
66	西瓜,牛奶,西红柿
67	香蕉,冰激凌,牛奶,梨
68	苹果,梨
69	苹果,香蕉,冰激凌,梨,西红柿
70	西红柿
71	土豆,苹果,梨,西瓜,西红柿
72	牛奶
73	牛奶,苹果,土豆
74	西瓜,苹果,西红柿
75	梨,苹果,香蕉,西红柿
76	苹果,牛奶,西红柿
77	香蕉,牛奶,西红柿
78	香蕉
79	西瓜,梨,西红柿
80	梨
81	西瓜,苹果
82	西红柿
83	西红柿
84	梨,土豆,牛奶,冰激凌
85	苹果,香蕉,冰激凌,梨,西瓜,牛奶
86	香蕉,土豆,梨
87	西瓜,苹果,冰激凌,梨
88	土豆,牛奶
89	香蕉,冰激凌,梨,西瓜,牛奶,西红柿
90	西瓜,梨,西红柿
91	西瓜,苹果,香蕉,土豆
